  Date: 20250407,  ID:0,  Veterinary: 204,  Type: CONTROL,  Status: PROGRAMADA
  Date: 20260408,  ID:0,  Veterinary: 204,  Type: VACUNACION,  Status: PROGRAMADA
  Date: 20251003,  ID:0,  Veterinary: 201,  Type: VACUNACION,  Status: PROGRAMADA
  Date: 20260408,  ID:0,  Veterinary: 201,  Type: CONTROL,  Status: REPROGRAMADA
  Date: 20260409,  ID:0,  Veterinary: 202,  Type: CASTRACION,  Status: PROGRAMADA
  Date: 20260409,  ID:0,  Veterinary: 204,  Type: VACUNACION,  Status: PROGRAMADA
  Date: 20260411,  ID:0,  Veterinary: 201,  Type: CONTROL,  Status: PENDIENTE
  Date: 20260408,  ID:0,  Veterinary: 201,  Type: CONTROL,  Status: PROGRAMADA
  Date: 20251220,  ID:0,  Veterinary: 207,  Type: CONTROL,  Status: PROGRAMADA
  Date: 20260414,  ID:0,  Veterinary: 206,  Type: VACUNACION,  Status: PENDIENTE
  Date: 20260415,  ID:0,  Veterinary: 205,  Type: VACUNACION,  Status: PENDIENTE
  Date: 0,  ID:0,  Veterinary: 0,  Type: 
